id,run_status,device_code,device_name,site_code,site_name,site_type,site_source,site_address,resource_code,business_type,resource_type,inservice_status,monitoring_method,handover_status,maint_status,maint_start_date,maint_end_date,maint_period,manufacturer,ownership,maint_unit,province,city,county,offline_time,record_id,industry,data_status,is_important,create_time,create_by,update_time,update_by
01cc20bb2c0611f198e1b42511fab28427,离线,52052700001327000109,平山-2/视频监控设备1,520527908000000060,平山-2,楼面站,自有站,贵州省毕节市赫章县平山乡韶上丫口,500140060000000020824519,视频监控,视频监控设备,起租中,总部可监控,已交维,无需检修,,,,大华,第三方所属,铁塔维护,贵州分公司,毕节市分公司,赫章县,2026-03-30 09:16:15,2026033015,空,待稽核,0,,,,
01d03f712c0611f1bb13b42511fab284485,离线,52050200001327000061,毕节市-阳山公园/视频监控设备1,520502908000000050,毕节市-阳山公园,地面站,自有站,贵州省毕节市七星关区阳山公园山顶,500140060000000020821594,视频监控,视频监控设备,起租中,总部可监控,已交维,无需检修,,,,大华,第三方所属,铁塔维护,贵州分公司,毕节市分公司,七星关区,2026-03-30 14:15:08,2026033015,空,待稽核,0,,,,
01d129d52c0611f185b3b42511fab284585,离线,52050200003007000004,7JH-岔河沙朗村一组FZHV/无人机2,520502500000002495,7JH-岔河沙朗村一组FZHV,地面站,自有站,毕节市金海湖新区岔河镇ci沙朗村1组斜对面的山包包上周围居民和道路,500140060000000024839904,视频监控,视频监控设备,起租中,总部可监控,未交维,无需检修,,,,大疆,智联,铁塔维护,贵州分公司,毕节市分公司,七星关区,2025-12-11 14:48:40,2026033015,空,待稽核,0,,,,
01d289632c0611f18c07b42511fab284731,离线,52052500001320000009,纳雍老凹坝武佐河新街/视频监控设备1,52052500000258,纳雍老凹坝武佐河新街,地面站,自有站,贵州省毕节市纳雍县五佐河镇,500140060000000020165767,视频监控,视频监控设备,起租中,总部可监控,已交维,无需检修,,,,海康威视,客户自有,铁塔维护,贵州分公司,毕节市分公司,纳雍县,2026-03-30 09:37:01,2026033015,空,待稽核,1,,,,
01e2c0a02c0611f1abb3b42511fab2841640,离线,52263600001327000004,禁渔-南皋乡清江村/摄像机2,522636800010002007,禁渔-南皋乡清江村,地面站,自有站,南皋乡清江村1组,500140060000000002477284,视频监控,视频监控设备,起租中,总部可监控,交维待补码,无需检修,,,,大华,智联,铁塔维护,贵州分公司,黔东南州分公司,丹寨县,2026-03-30 09:36:44,2026033015,空,待稽核,1,,,,
01e302b02c0611f18e76b42511fab2841645,离线,52038200001320000177,仁怀市纳坡渡口-LZ/摄像机30,520382800010002598,仁怀市纳坡渡口-LZ,地面站,自有站,贵州省遵义市仁怀市纳坡渡口,500140060000000013621333,视频监控,视频监控设备,起租中,总部可监控,已交维,无需检修,,,,宇视,智联,铁塔维护,贵州分公司,遵义分公司,仁怀市,2026-03-18 01:50:08,2026033015,渔政,已稽核,1,,,,
01ec0f3b2c0611f197beb42511fab2842079,离线,52052500001327000026,7NY-_联富/视频监控设备1,520525700000007194,7NY-_联富,地面站,自有站,贵州省毕节市纳雍县龙场联富,500140060000000020161772,视频监控,视频监控设备,起租中,总部可监控,已交维,无需检修,,,,海康威视,第三方所属,铁塔维护,贵州分公司,毕节市分公司,纳雍县,2026-03-30 14:42:19,2026033015,森林防火,已稽核,0,,,,
01edbce92c0611f1be5ab42511fab2842241,离线,52062800001320000037,松桃县隘门/摄像机1,520628908000000088,松桃县隘门,地面站,自有站,贵州省铜仁市松桃县隘门村寨隘门村,500140060000000020034697,视频监控,视频监控设备,起租中,总部可监控,已交维,无需检修,,,,铜仁市佳航科技有限公司,智联,铁塔维护,贵州分公司,铜仁市分公司,松桃苗族自治县,2026-03-29 17:10:53,2026033015,空,待稽核,0,,,,
01f046d72c0611f18943b42511fab2842462,离线,52270100001327000049,都匀市益豚生态农业有限公司3,522701000010003152,都匀市益豚生态农业有限公司,地面站,社会站,都匀市益豚生态农业有限公司,500140060000000004725322,视频监控,视频监控设备,起租中,总部可监控,交维待补码,无需检修,,,,海康威视,铁塔,铁塔维护,贵州分公司,黔南州分公司,都匀市,2026-03-30 11:52:09,2026033015,环保,已稽核,0,,,,
01f046d92c0611f187f9b42511fab2842464,离线,52270100001327000048,都匀市益豚生态农业有限公司2,522701000010003152,都匀市益豚生态农业有限公司,地面站,社会站,都匀市益豚生态农业有限公司,500140060000000004725274,视频监控,视频监控设备,起租中,总部可监控,交维待补码,无需检修,,,,海康威视,铁塔,铁塔维护,贵州分公司,黔南州分公司,都匀市,2026-03-30 11:52:33,2026033015,环保,已稽核,0,,,,
01f0613d2c0611f1a1b2b42511fab2842471,离线,52270100001320000009,都匀市_摆忙高寨,522701908000000557,都匀市_摆忙高寨,楼面站,自有站,贵州省黔南州都匀市王司镇奉合乡奉合村司法所对面山上,500140060000000019718754,视频监控,视频监控设备,起租中,总部可监控,已交维,无需检修,,,,宇视,铁塔,铁塔维护,贵州分公司,黔南州分公司,都匀市,2026-03-23 22:52:49,2026033015,森林培育,已稽核,0,,,,
01f151a02c0611f18f0db42511fab2842570,离线,52040200001327000015,3XX-赵家苑村LHHVV/视频监控设备1,52040200000079,3XX-赵家苑村LHHVV,地面站,自有站,安顺市龙宫镇桃子村旁山坡上铁塔上,500140060000000019586615,视频监控,视频监控设备,起租中,总部可监控,已交维,无需检修,,,,海康威视,客户自有,铁塔维护,贵州分公司,安顺市分公司,西秀区,2026-03-29 12:33:07,2026033015,环保,已稽核,0,,,,
01f2b5f42c0611f18160b42511fab2842708,离线,52038200001320000196,仁怀市陶洪-LZ/摄像机1,520382800010002636,仁怀市陶洪-LZ,地面站,自有站,贵州省遵义市仁怀市仁怀陶洪,500140060000000013621590,视频监控,视频监控设备,起租中,总部可监控,已交维,无需检修,,,,宇视,智联,铁塔维护,贵州分公司,遵义分公司,仁怀市,2026-03-15 11:17:30,2026033015,渔政,已稽核,1,,,,
01f2d8b62c0611f18f6eb42511fab2842719,离线,52038200001320000184,仁怀市紫云街上-LZ/摄像机1,520382800010002629,仁怀市紫云街上-LZ,地面站,自有站,贵州省遵义市仁怀市仁怀紫云街上,500140060000000013621368,视频监控,视频监控设备,起租中,总部可监控,已交维,无需检修,,,,宇视,智联,铁塔维护,贵州分公司,遵义分公司,仁怀市,2026-03-30 09:53:33,2026033015,渔政,已稽核,1,,,,
